Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
2143.038610475214,0.06096797645010972,-44.61075992123419,-90.98686492289103
2147.978824682491,0.0624953345636286,-44.56967641047101,-90.52788299580345
2152.930427259671,0.05993262099682971,-44.51080400378233,-90.87628784949104
2157.893444459659,0.05959717503018085,-44.45619724611586,-90.82059717475565
2162.867902595877,0.06139740285869798,-44.50007550838365,-90.65506981692802
2167.853828042408,0.06159729786861545,-44.47398002742606,-90.83486856349955
2172.851247234132,0.05869135077769372,-44.48182913595687,-90.61411334819275
2177.860186666868,0.06204785351654394,-44.4566101033567,-90.53450832570411
2182.880672897514,0.05875664820388153,-44.37093630635595,-90.78896406043881
2187.912732544189,0.06051494073100052,-44.32928181230687,-91.0079921694184
2192.956392286371,0.05733746802135644,-44.30423320273886,-90.79361557796233
2198.011678865043,0.06259187373761649,-44.29618894674262,-90.80369814688429
2203.078619082831,0.06014185973703921,-44.31884589020386,-90.96599990341761
2208.157239804148,0.06565140202513814,-44.26703457163012,-90.69209507939394
2213.247567955334,0.05982551538695886,-44.20179517174164,-90.98353631134913
2218.349630524804,0.06318403202220288,-44.25762332439866,-90.70523059459907
2223.463454563184,0.06187908615076371,-44.24950575659331,-90.52119069162268
2228.589067183461,0.06560560250710876,-44.10588030022307,-90.67612543960388
2233.726495561124,0.06310835756466296,-44.18377541517258,-90.62781879001258
2238.875766934304,0.06146368483042089,-44.07265853847917,-91.02273446401551
2244.036908603928,0.06454224998333034,-44.07841381776153,-90.32001104377235
2249.209947933854,0.06433788187651361,-44.05730109035118,-90.64138471041292
2254.394912351022,0.0683848226139091,-44.01796790518589,-90.75398520424891
2259.591829345597,0.0645433364559134,-44.03867636603718,-91.16114701518839
2264.800726471115,0.06557942420902267,-43.96344842571455,-90.79627301327265
2270.021631344631,0.06766822819618437,-43.880233995551,-90.4943457143699
2275.254571646863,0.06669409360794454,-43.91729298506199,-90.74281192653682
2280.499575122339,0.06331328348868319,-43.95111083932409,-90.81432123308161
2285.756669579545,0.06651856270564169,-43.87907187846285,-90.76113099908531
2291.025882891072,0.06632562062939655,-43.86710309861624,-90.94198664512936
2296.307242993767,0.06310581564026789,-43.80059769523398,-91.08824090515409
2301.600777888872,0.06431186674200584,-43.78779054090894,-90.86521734854013
2306.906515642186,0.06790739056973154,-43.77062680241209,-90.62476042280866
2312.224484384199,0.06744466022765314,-43.71234968477691,-90.923836228529
2317.554712310254,0.06827151245762014,-43.71669839582943,-91.01264784236577
2322.897227680686,0.06463804799725337,-43.67582214945998,-91.01294908664477
2328.252058820984,0.06462554578145978,-43.68162590564501,-90.95088509451566
2333.619234121926,0.06823837844804702,-43.69292226762624,-90.5752059028797
2338.998782039743,0.06520475741457275,-43.63075041881928,-91.08348420629562
2344.390731096262,0.06729471318653704,-43.57299222915697,-91.1943451452088
2349.795109879061,0.06859643186364174,-43.55736735730182,-90.83801027197457
2355.211947041616,0.0654086237524901,-43.514253434745,-91.14697046982813
2360.64127130346,0.06584286032194436,-43.4810053258726,-91.00932677070142
2366.083111450331,0.06812577903395982,-43.46904858189725,-90.83072360507565
2371.537496334321,0.07153592081517142,-43.4860792905716,-90.38964835383365
2377.004454874038,0.07089831401433112,-43.45176295594614,-90.76776729713058
2382.484016054751,0.07047308410643553,-43.44416322778631,-90.9672822321514
2387.976208928547,0.0713369275875034,-43.41243366179425,-90.64097462773336
2393.481062614488,0.07030399448073864,-43.38220272903509,-90.461043000459
2398.998606298759,0.07073263976480075,-43.29200696790893,-90.99898682515185
2404.528869234827,0.07038502780643661,-43.26267291000713,-90.66806425082672
2410.071880743596,0.07262973564003226,-43.30483535670767,-90.8209422022978
2415.627670213561,0.07334209771028688,-43.24509859103042,-90.9033265850541
2421.196267100966,0.07138543409567147,-43.22318469790383,-90.99884772723601
2426.777700929955,0.07170542234987048,-43.17037263625126,-90.82186421321821
2432.372001292737,0.0757257968285138,-43.13245893496621,-90.7815443081149
2437.979197849734,0.07371572229313698,-43.13078830621886,-90.8211084548617
2443.599320329744,0.07029606273715622,-43.10879469298697,-90.72454262771291
2449.232398530099,0.07162881255681817,-43.11281405705407,-90.82050626893152
2454.878462316816,0.07237581957364488,-43.08600282010244,-91.11484730145827
